dosen,judul
RAHMAT PURWOKO,Implementasi Snort pada Simulator GRFICSv2 sebagai Sarana Pembelajaran di Poltek SSN
RAHMAT PURWOKO,"Quantifying of runC, Kata and gVisor in Kubernates"
RAHMAT PURWOKO,Gamification Design as Learning Media to Motivate Students to Increase Cyber Security Awareness towards Phishing
RAHMAT PURWOKO,Desain gamifikasi sebagai media pembelajaran untuk memotivasi pelajar dalam meningkatkan cyber security awareness terhadap phishing
RAHMAT PURWOKO,Pembuatan cyber exercise investigasi forensik jaringan berdasarkan ISO 22398
RAHMAT PURWOKO,Security assessment pada sistem informasi manajemen kesehatan khanza berbasis static application security testing (SAST)
RAHMAT PURWOKO,Implementasi secret engine pada vault sebagai sistem keamanan basis data dalam lingkungan microservice
RAHMAT PURWOKO,Analisis keamanan perangkat IoT smart home berdasarkan OWASP IoT security verification standard
RAHMAT PURWOKO,Implementasi Https Melalui Ultra High Frequency (UHF) Berbasis Raspberry Pi
RAHMAT PURWOKO,Analisis komparatif protokol VPN pada IPv6 berdasarkan quality of service
RAHMAT PURWOKO,Rancang bangun honeynet yang diintegrasikan dengan intrusion detection system menggunakan virtualisasi server berbasis Promox VE
RAHMAT PURWOKO,Implementasi Elastic Endpoint Security Sebagai Endpoint Detection Response (EDR) untuk Proteksi dan Manajemen Kerentanan Aset pada Dinas Komunikasi dan Informatika Kabupaten Bogor
RAHMAT PURWOKO,Rancang Bangun Cyber Exercise Simulasi Penanganan Insiden Siber Menggunakan Enisa Cyber Exercise Cycle
RAHMAT PURWOKO,Comparative Quality of Service Analysis of VPN Protocols on IPv6
RAHMAT PURWOKO,Optimasi prototipe perangkat portabel password cracking berbasis Raspberry Pi dengan metode clustering open MPI
RAHMAT PURWOKO,Tinjauan strategis keamanan siber Indonesia: teknologi cloud dan tata kelola data
GIRINOTO,Face anti-spoofing using CNN classifier &amp; face liveness detection
GIRINOTO,Implementation of chatbot on university website using RASA framework
GIRINOTO,Comparison of LSTM architecture for malware classification
GIRINOTO,Twitter bot account detection using supervised machine learning
GIRINOTO,Deep learning for malware classification platform using windows api call sequence
GIRINOTO,PDFalse: Evasive Malicious PDF Machine Learning Classifier
GIRINOTO,Detection Model for URL Phishing with Comparison Between Shallow Machine Learning and Deep Learning Models
GIRINOTO,Soceng Warriors: Game-Based Learning to Increase Security Awareness Against Social Engineering Attacks
GIRINOTO,Anti-Phishing Game Framework Based on Extended Design Play Experience (DPE) Framework as an Educational Media
GIRINOTO,Benchmarking model url features and image based for phishing url detection
GIRINOTO,Analisis Pola Penyebaran Informasi Insiden Kebocoran Data Melalui Pendekatan Social Network Analysis (SNA)
GIRINOTO,Implementasi Deteksi Judul Berita Clickbait Berbahasa Indonesia dengan pre-trained model Multilingual BERT Pada Aplikasi Berbasis Chrome Extension
GIRINOTO,Robust small area estimation of poverty indicators using M-quantile approach (Case study: Sub-district level in Bogor district)
GIRINOTO,Investigasi Insiden Kebocoran Data Menggunakan Integrasi Melalui Pendekatan Open Source Intelligence dan Detection Maturity Level Model
GIRINOTO,Text preprocessing for optimal accuracy in Indonesian sentiment analysis using a deep learning model with word embedding
GIRINOTO,SIGNIN: The Digital Signature and File Verification Management Application Using Secure Rapid Application Development Approach
GIRINOTO,Deep Learning for Android Malware Detection and Classification Using Hybrid-Based Analysis: A Comparative Study
GIRINOTO,"Securing Indonesian Hoax News Dataset with Blockchain, IPFS, and Voting Mechanism"
GIRINOTO,Pembelajaran Anti Phising Melalui Media Edukasi Berupa Game Framework Di SMK Negeri 1 Negara
GIRINOTO,Analisis Log Web Server dengan Pendekatan Algoritme K-Means Clustering dan Feature Importance
GIRINOTO,OmeTV Pretexting Phishing Attacks: A Case Study of Social Engineering
GIRINOTO,Implementasi Deteksi Judul Berita Clickbait Berbahasa Indonesia dengan pre-trained model Multilingual BERT Pada Aplikasi Berbasis Chrome Extension
GIRINOTO,Modified RNP Privacy Protection Data Mining Method as Big Data Security
GIRINOTO,Kajian Metode Pendugaan Area Kecil untuk Indikator Kemiskinan Melalui Pendekatan Regresi Kekar M-Kuantil
JECKSON SIDABUTAR,Desain Jaringan Komputer Terintegrasi Menggunakan Arsitektur Campus LAN
JECKSON SIDABUTAR,Kriptografi: Teknik Keamanan Data
JECKSON SIDABUTAR,Comparative Analysis of Recovery Tools For Digital Forensic Evidence Using NIST Framework 800-101 R1
JECKSON SIDABUTAR,Malware classification and visualization using EfficientNet and B2IMG algorithm
JECKSON SIDABUTAR,Desain Perangkat Aktif Data Center Berdasarkan Standar TIA-942 Tingkat 3
JECKSON SIDABUTAR,ANALISIS AKTIVITAS CYBER BULLYING PENGGUNA INSTAGRAM MELALUI BROWSER CHROME DENGAN PENDEKATAN LIVE FORENSICS
JECKSON SIDABUTAR,Comparative Analysis of Forensic for Whatsapp Desktop on Mac OS and Windows Using IDFIF V2
JECKSON SIDABUTAR,TIA-942 Approach dengan Computational Fluid Dynamic untuk Data Center
JECKSON SIDABUTAR,Penerapan Metode Discrete Wavelet Transform (DWT) dan Gaussian Mixture Model (GMM) Sebagai Pengenal Penutur
JECKSON SIDABUTAR,Cyberaksi 3.0 Empowering Cybersecurity Skill
JECKSON SIDABUTAR,ANALISIS FORENSIK DIGITAL INSTANT MESSAGING TWINME PADA EMULATOR BERBASIS ANDROID BERDASARKAN NIST SP 800-101 REV 1
JECKSON SIDABUTAR,Comparative Study of Open-source Firewall
JECKSON SIDABUTAR,Digital Forensic Analysis of WhatsApp Business Applications on Android-Based Smartphones Using NIST
JECKSON SIDABUTAR,Pembuatan cyber exercise investigasi forensik jaringan berdasarkan ISO 22398
JECKSON SIDABUTAR,Perancangan Modul Praktikum dan Laboratorium Virtual Simulasi Security Operation Center Sebagai Sarana Pembelajaran Keamanan Siber
JECKSON SIDABUTAR,Uji penetrasi sistem keamanan berbasis OWASP web security testing guide (WSTG) V4. 2 dan NIST SP 800-115 pada layanan mail sanapati milik Badan Siber dan Sandi Negara
JECKSON SIDABUTAR,"Forensik jaringan serangan malware, port scanning, ping of death berdasarkan network forensics development life cycle (NFDLC)"
JECKSON SIDABUTAR,Analisis forensik digital aplikasi whatsapp business pada smartphone berbasis android menggunakan NIST SP 800-101 rev 1
JECKSON SIDABUTAR,Analisis kemampuan zeek dan suricata sebagai host-based intrusion detection system (HIDS) terhadap serangan denial of service (DoS) pada jaringan
JECKSON SIDABUTAR,Analisis forensik digital aplikasi kencan online Tantan dan Omi pada smartphone android menggunakan model investigasi digital forensic research workshop (DFRWS) 2001
JECKSON SIDABUTAR,Perancangan Cyber Risk Management Menggunakan NIST CSF dan ISO/IEC 27002: 2022 pada Sektor Penerbangan di Indonesia (Studi Kasus: Direktorat Navigasi Penerbangan)
JECKSON SIDABUTAR,Optimasi prototipe perangkat portabel password cracking berbasis Raspberry Pi dengan metode clustering open MPI
JECKSON SIDABUTAR,Analisis komparatif hasil forensik tools penghapus file pada windows
JECKSON SIDABUTAR,Analisis forensik digital pada layanan kontainer docker menggunakan Grr rapid response framework berdasarkan NIST SP 800-86
JECKSON SIDABUTAR,Analisis Komparatif Bukti Digital pada Aplikasi Whatsapp Messenger Berbasis Desktop Berdasarkan Integrated Digital Forensics Investigation Framework VErsion 2 (IDFIF V2)
JECKSON SIDABUTAR,Peningkatan Kesadaran Keamanan Informasi Melalui Kegiatan Online Workshop Menggunakan Platform Quizizz
JECKSON SIDABUTAR,Analisis Rules Intrusion Detection Prevention System (IDPS) Suricata untuk Mendeteksi dan Menangkal Aktivitas Crypto Mining pada Jaringan
ANDRIANI ADI LESTARI,Two new lightweight cryptographic hash functions based on saturnin and beetle for the Internet of Things
ANDRIANI ADI LESTARI,A novel discrete-time chaos-function-based random-number generator: design and variability Analysis
ANDRIANI ADI LESTARI,A tutorial of boomerang attack on SMALLPRESENT-[4]
ANDRIANI ADI LESTARI,Modified logistic maps for discrete time chaos based random number generator
ANDRIANI ADI LESTARI,Attendance System Using Two Factor Authentication Based on Secure App with Flutter
ANDRIANI ADI LESTARI,Formal Analysis of SMAP Fog/Edge Protocol Using AVISPA
ANDRIANI ADI LESTARI,Implementasi Secure Storage Menggunakan Metode Full Disk Encryption dan Tamper Proof pada Cloud Storage
ANDRIANI ADI LESTARI,Fixed Point Attack dan Collision Attack pada 4 Secure-PGV Hash Function Schemes Berbasis Algoritme Improved-DLBCA
ANDRIANI ADI LESTARI,Implementasi Skema Improved Security Authentication Protocol Berbasis Elliptic Curve Cryptography pada Radio Frequency Identification untuk Kendali Akses
ANDRIANI ADI LESTARI,Rancang Bangun Perangkat Kendali Akses Berbasis Deteksi Wajah MediaPipe dan Pengenalan Wajah Local Binary Pattern Histogram pada Ruang Workshop Perangkat Keras Poltek SSN
ANDRIANI ADI LESTARI,Serangan integral pada algoritme TS-2
ANDRIANI ADI LESTARI,Rancang Bangun Dongle Cryptoprocessor untuk Tanda Tangan Elektronik Dokumen Berbasis Secure Hardware
ANDRIANI ADI LESTARI,Hortex: Fungsi Hash Chaotic Sponge
ANDRIANI ADI LESTARI,Second Preimage Attack pada Skema Davies-Meyer Berbasis SIMECK32/64 Menggunakan Metode Kortelainen
ANDRIANI ADI LESTARI,"Serangan Universal Forgery pada Skema Fungsi Hash Ft, LightMAC_Plus, dan LightMAC_Plus2 Berbasis Algoritme DLBCA"
ANDRIANI ADI LESTARI,"Serangan universal forgery pada skema fungsi hash Ft, LightMAC_Plus, dan LightMAC_Plus2 berbasis algortime DLBCA"
ANDRIANI ADI LESTARI,Kriptanalisis Diferensial Takmungkin pada Algoritme DLBCA Empat dan Lima Putaran Menggunakan Teknik Miss-In-The-Middle
ANDRIANI ADI LESTARI,Distribusi Difference dari S-Box Berbasis Fungsi Balikan Pada GF (2 8)
RIZKA KHAIRUNNISA,Pengembangan Desain Meterai Elektronik Mendukung Digitalisasi Bea Meterai Di Indonesia
RIZKA KHAIRUNNISA,Access control prototype using modified rap-wota with timestamp protocol based on arduino mega 2560
RIZKA KHAIRUNNISA,Digital Forensic Analysis of Online Dating Applications on Android Using the Digital Forensic Research Workshop 2001 Investigation Model
RIZKA KHAIRUNNISA,Mobile Forensic Imaging Prototype with Data Integrity
RIZKA KHAIRUNNISA,Implementasi Skema Improved Security Authentication Protocol Berbasis Elliptic Curve Cryptography pada Radio Frequency Identification untuk Kendali Akses
RIZKA KHAIRUNNISA,Implementasi autentikasi menggunakan RFID pada sistem gerbang otomatis dengan pengenalan plat nomor kendaraan berbasis optical character recognition (OCR)
RIZKA KHAIRUNNISA,Analisis forensik digital aplikasi kencan online Tantan dan Omi pada smartphone android menggunakan model investigasi digital forensic research workshop (DFRWS) 2001
RIZKA KHAIRUNNISA,Implementasi Algoritme Snow pada Sistem Komunikasi Voip Berbasis Raspberry Pi
RIZKA KHAIRUNNISA,Forensic Imaging Integrity Guarantor using Raspberry Pi and RFID Tag
RIZKA KHAIRUNNISA,Implementation of Present Counter-Mode Algorithm as a Challenge Value Generator in Color Combo Access Control Prototype
RIZKA KHAIRUNNISA,Parallelizing Polarization Plate Design for Automating Quantum Key Distribution Device based on EDU-QCRYI
RAY NOVITA YASA,Identifikasi Malware Android Menggunakan Pendekatan Analisis Hibrid Dengan Deep Learning
RAY NOVITA YASA,Perbandingan Hasil Prediksi Diagnosis pada Indian Liver Patient Dataset (ILPD) dengan Teknik Supervised Learning Menggunakan Software Orange
RAY NOVITA YASA,Comparison of single-view and multi-view deep learning for Android malware detection
RAY NOVITA YASA,Benchmarking model url features and image based for phishing url detection
RAY NOVITA YASA,Analisis Aplikasi Cryptowallet Tiruan Terhadap Indikasi Android Malware
RAY NOVITA YASA,Text preprocessing for optimal accuracy in Indonesian sentiment analysis using a deep learning model with word embedding
RAY NOVITA YASA,Deep Learning for Android Malware Detection and Classification Using Hybrid-Based Analysis: A Comparative Study
RAY NOVITA YASA,"Securing Indonesian Hoax News Dataset with Blockchain, IPFS, and Voting Mechanism"
RAY NOVITA YASA,Pembelajaran Anti Phising Melalui Media Edukasi Berupa Game Framework Di SMK Negeri 1 Negara
RAY NOVITA YASA,Rancang Bangun Secure and Distributed Hoax News Dataset Repository Website Menggunakan Blockchain
RAY NOVITA YASA,Implementasi deep learning menggunakan kombinasi fitur teks dan gambar untuk mendeteksi website phishing
RAY NOVITA YASA,Classic Cipher Game Berbasis Mobile Application Sebagai Alat Bantu Ajar Mata Kuliah Pengantar Persandian Taruna Poltek SSN
RAY NOVITA YASA,"Analisis Komparatif Keamanan Aplikasi Berbasis Sistem Operasi Android Berdasarkan Mobile Application Security VErification Standard, NIST SP 800-163 Rev 1 dan NIAP Protection …"
RAY NOVITA YASA,Implementasi Deep Learning untuk Deteksi dan Klasifikasi Malware Android Menggunakan Analisis Berbasis Hybrid
RAY NOVITA YASA,Beberapa karakteristik matriks Riordan dan grup Riordan
RAY NOVITA YASA,Modified RNP Privacy Protection Data Mining Method as Big Data Security
RAY NOVITA YASA,FUNGSI WRIGHT SEBAGAI SOLUSI ANALITIK PERSAMAAN DIFUSI-GELOMBANG FRAKSIONAL PADA MEDIA VISKOELASTIS
ANNISA DINI HANDAYANI,Modified RAP-WOTA for Preventing Man in the Middle and Replay Attacks
ANNISA DINI HANDAYANI,Pemanfaatan Graf pada Manajemen Kunci Kriptografi untuk Mengamankan Komunikasi Grup
ANNISA DINI HANDAYANI,Strict Avalanche Criterion (SAC) Test on Lightweight Blockcipher Algorithms
ANNISA DINI HANDAYANI,GRACEFUL LABELING ON BAT GRAPH
HERMAN KABETTA,Hybrid-Based Malware Analysis for Effective and Efficiency Android Malware Detection
HERMAN KABETTA,Information hiding in CSS: a secure scheme text-steganography using public key cryptosystem
HERMAN KABETTA,Implementasi REST API pada Aplikasi Panduan Kepaskibraan Berbasis Android
HERMAN KABETTA,Comparative Study Between the Integration of ITIL and ISO / IEC 27001 with the Integration of COBIT and ISO / IEC 27001
HERMAN KABETTA,Desain dan Implementasi Penandatangan Elektronik Sertifikat X509 Menggunakan Platform Bot Telegram
HERMAN KABETTA,Performance and Security Comparison of Json Web Tokens (JWT) and Platform Agnostic Security Tokens (PASETO) on RESTful APIs
HERMAN KABETTA,Implementation of DevSecOps by Integrating Static and Dynamic Security Testing in CI/CD Pipelines
HERMAN KABETTA,Exploration of the Security of Free Data Encryption Applications for Cloud Storage
HERMAN KABETTA,Analisis Kompleksitas Waktu Algoritma Kriptografi Elgamal Dan Data Encryption Standard
HERMAN KABETTA,PHP Source Code Protection Using Layout Obfuscation and AES-256 Encryption Algorithm
HERMAN KABETTA,Correlation Between Motivation and Achievement of Competencies in the Hands-On Learning Method
HERMAN KABETTA,Secure User Management Gateway for Microservices Architecture APIs Using Keycloak on XYZ
HERMAN KABETTA,Comparative Analysis of Deep Learning Models for Web Defacement Detection Based on Textual Context
HERMAN KABETTA,"Cyber-Risk Management Planning Using NIST CSF V1. 1, ISO/IEC 27005: 2018, and NIST SP 800-53 Revision 5 (A Study Case to ABC Organization)"
HERMAN KABETTA,Modification of Pollard Rho Algorithm Using Negation Mapping
HERMAN KABETTA,Chlorophyll Segmentation Of Satellite Image With Region-Based Active Contours
HERMAN KABETTA,Implementation of A New Quasi-Cyclic Goppa Code in McEliece Cryptography
HERMAN KABETTA,Seamless Security on Mobile Devices Textual Password Quantification Model Based Usability Evaluation of Secure Rotary Entry Pad Authentication
HERMAN KABETTA,Pembelajaran Anti Phising Melalui Media Edukasi Berupa Game Framework Di SMK Negeri 1 Negara
HERMAN KABETTA,Tinjauan Strategis Keamanan Siber Indonesia: Teknologi Cloud dan Tata Kelola Data
HERMAN KABETTA,Garch Modeling for Volatil Data: Air Pollution Standard Index in DKI Jakarta as A Parameter in Secure Smart City Development
HERMAN KABETTA,Studi Tentang Web Race Condition Sebagai Acuan Pembuatan Sebuah Modul Praktikum
NADIA PARAMITA RETNO ADIATI,Analysis of Geffe Generator LFSR properties on the application of algebraic attack
NADIA PARAMITA RETNO ADIATI,Pencarian Karakteristik Truncated Differential pada 8 Iterasi Algoritme Design 32 Bit Lightweight Block Cipher Algorithm (DLBCA)
NADIA PARAMITA RETNO ADIATI,Algebraic Attack on 2-Round SMALLPRESENT-[2] Algorithm
NADIA PARAMITA RETNO ADIATI,Serangan Integral pada Algoritme TS-2
SUSILA WINDARTA,"Lightweight cryptographic hash functions: Design trends, comparative study, and future directions"
SUSILA WINDARTA,"S-Mbank: Secure mobile banking authentication scheme using signcryption, pair based text authentication, and contactless smart card"
SUSILA WINDARTA,A Novel Secure Root Key Updating Scheme for LoRaWANs Based on CTR_AES DRBG 128
SUSILA WINDARTA,Statistical test on lightweight block cipher-based PRNG
SUSILA WINDARTA,Fixed point attack in PGV-5 scheme using SIMON algorithm
SUSILA WINDARTA,Distinguishing attack and second preimage attack on Mini-AES CBC-MAC
SUSILA WINDARTA,A novel session key update scheme for LoRaWAN
SUSILA WINDARTA,Modified SNOW 3G: Stream cipher algorithm using piecewise linear chaotic map
SUSILA WINDARTA,Two new lightweight cryptographic hash functions based on saturnin and beetle for the Internet of Things
SUSILA WINDARTA,A novel digital forensic framework for data breach investigation
SUSILA WINDARTA,Security Evaluation of LIGHTMAC: Second Preimage Attack using Existential Forgery
SUSILA WINDARTA,Fungsi Hash Berbasis Teori Graf: Sebuah Survei
SUSILA WINDARTA,"S-Mbank: Secure Mobile Banking Authentication Scheme Using Signcryption, Pair Based Text Authentication, and Contactless Smartcard"
SUSILA WINDARTA,Parallel algorithm to find collision in Merkle-Damgard construction with fixed point for 2n/2/k work
SUSILA WINDARTA,Design key exchange protocol SOFU-11
SUSILA WINDARTA,Distinguishing attack and second-preimage attack on encrypted message authentication codes (EMAC)
SUSILA WINDARTA,Parallel Algorithm to Find Collision in Merkle-Damgard Construction with Fixed Point for 2 n/2
NIA YULIANTI,FUNGSI MONOTON ALJABAR-C
NIA YULIANTI,Kriptografi: Teknik Keamanan Data
NIA YULIANTI,Desain Perangkat Aktif Data Center Berdasarkan Standar TIA-942 Tingkat 3
NIA YULIANTI,Implementation a Passwordless and Multi Factor Authentication (MFA) Mechanism for Enhancing Login Security in Android Applications
NIA YULIANTI,A Modified Zero-Knowledge Scheme from Bilinear Pairing for Securing Multiple Secret Values
NIA YULIANTI,Desain Algoritma Kriptografi Klasik dengan Konsep Koset Grup dalam Teori Aljabar
NIA YULIANTI,KARAKTERISASI MODUL CYCLICALLY PURE (CP)-INJEKTIF
SEPTIA ULFA SUNARINGTYAS,Secure code recommendation based on code review result using owasp code review guide
SEPTIA ULFA SUNARINGTYAS,Implementing digital signature for the secure electronic prescription using QR-code based on android smartphone
SEPTIA ULFA SUNARINGTYAS,Enhanced authentication mechanism for Automated Teller Machine (ATM) through implementation of soft two-factor authentication
RADEN BUDIARTO HADIPRAKOSO,Hybrid-based malware analysis for effective and efficiency android malware detection
RADEN BUDIARTO HADIPRAKOSO,Rekayasa Perangkat Lunak
RADEN BUDIARTO HADIPRAKOSO,Manajemen Risiko Keamanan Sistem Informasi Menggunakan Metode FMEA Dan ISO 27001 Pada Organisasi XYZ
RADEN BUDIARTO HADIPRAKOSO,"Wordpress, Not just A blog"
RADEN BUDIARTO HADIPRAKOSO,Face anti-spoofing using CNN classifier &amp; face liveness detection
RADEN BUDIARTO HADIPRAKOSO,"Analisis faktor adopsi aplikasi mobile berdasarkan pengalaman, usia dan jenis kelamin menggunakan UTAUT2"
RADEN BUDIARTO HADIPRAKOSO,"Smart chicken farming: monitoring system for temperature, ammonia levels, feed in chicken farms"
RADEN BUDIARTO HADIPRAKOSO,Pemrograman Berorientasi Objek: Teori dan implementasi dengan Java
RADEN BUDIARTO HADIPRAKOSO,Identifikasi Malware Android Menggunakan Pendekatan Analisis Hibrid Dengan Deep Learning
RADEN BUDIARTO HADIPRAKOSO,Comparative study between the integration of ITIL and ISO/IEC 27001 with the integration of COBIT and ISO/IEC 27001
RADEN BUDIARTO HADIPRAKOSO,Penerapan Metode FMEA Untuk Keamanan Sistem Informasi (Studi Kasus Website POLRI)
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi Naskah Dinas Elektronik Berbasis Web Menggunakan WDLC
RADEN BUDIARTO HADIPRAKOSO,Deteksi masker wajah menggunakan deep transfer learning dan augmentasi gambar
RADEN BUDIARTO HADIPRAKOSO,Implementation of chatbot on university website using RASA framework
RADEN BUDIARTO HADIPRAKOSO,Android malware detection using hybrid-based analysis &amp; deep neural network
RADEN BUDIARTO HADIPRAKOSO,Kinerja Algoritme Pengenalan Wajah untuk Sistem Penguncian Pintu Otomatis Menggunakan Raspberry-Pi
RADEN BUDIARTO HADIPRAKOSO,Analisis Statis Deteksi Malware Android Menggunakan Algoritma Supervised Machine Learning
RADEN BUDIARTO HADIPRAKOSO,Pengembangan Aplikasi registrasi Rawat Jalan pasien rsud menggunakan perangkat android
RADEN BUDIARTO HADIPRAKOSO,Perancangan Basis Data
RADEN BUDIARTO HADIPRAKOSO,EMPIRICAL study on consumer acceptance of mobile applications in Jakarta Indonesia
RADEN BUDIARTO HADIPRAKOSO,Performance and security comparison of json web tokens (jwt) and platform agnostic security tokens (paseto) on restful apis
RADEN BUDIARTO HADIPRAKOSO,Twitter bot account detection using supervised machine learning
RADEN BUDIARTO HADIPRAKOSO,Deep learning for malware classification platform using windows api call sequence
RADEN BUDIARTO HADIPRAKOSO,Face anti-spoofing method with blinking eye and hsv texture analysis
RADEN BUDIARTO HADIPRAKOSO,Flubot malware hybrid analysis on android operating system
RADEN BUDIARTO HADIPRAKOSO,Sistem Basis Data: Perancangan dan Implementasi
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi Gamifikasi Untuk Meningkatkan Kesadaran Keamanan Siber
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi PDF Signer Berbasis Android pada PDAM Kabupaten Tuban
RADEN BUDIARTO HADIPRAKOSO,Correlation Between Motivation and Achievement of Competencies in the Hands-On Learning Method
RADEN BUDIARTO HADIPRAKOSO,Studi Empiris Model Penerimaan Aplikasi Mobile Pada Konsumen
RADEN BUDIARTO HADIPRAKOSO,Comparison of single-view and multi-view deep learning for Android malware detection
RADEN BUDIARTO HADIPRAKOSO,Soceng Warriors: Game-Based Learning to Increase Security Awareness Against Social Engineering Attacks
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi Rekapitulasi Obat dengan Menerapkan Tanda Tangan Digital
RADEN BUDIARTO HADIPRAKOSO,Panduan Ngeblog Menggunakan Wordpress
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi COOL: REST API Untuk Learning Management System
RADEN BUDIARTO HADIPRAKOSO,Comparative Analysis of Deep Learning Models for Web Defacement Detection Based on Textual Context
RADEN BUDIARTO HADIPRAKOSO,Penerapan Gamifikasi dan Personal Extreme Programming pada Aplikasi Ensiklopedia terkait Secure Coding Berbasis Android
RADEN BUDIARTO HADIPRAKOSO,Deteksi Serangan Spoofing Wajah Menggunakan Convolutional Neural Network
RADEN BUDIARTO HADIPRAKOSO,Performance Comparison of Feature Extraction and Machine Learning Classification Algorithms for Face Recognition
RADEN BUDIARTO HADIPRAKOSO,Implementasi Pola Desain Dekorator Untuk Meningkatkan Efisiensi Algoritme Kode Program
RADEN BUDIARTO HADIPRAKOSO,Text preprocessing for optimal accuracy in Indonesian sentiment analysis using a deep learning model with word embedding
RADEN BUDIARTO HADIPRAKOSO,Double Face Masks Detection Using Region-Based Convolutional Neural Network
RADEN BUDIARTO HADIPRAKOSO,Deep Learning for Android Malware Detection and Classification Using Hybrid-Based Analysis: A Comparative Study
RADEN BUDIARTO HADIPRAKOSO,Comparison of Transfer Learning Performance in Image-Based Malware File Classification on the Dumpware10 Dataset
RADEN BUDIARTO HADIPRAKOSO,Pembelajaran Anti Phising Melalui Media Edukasi Berupa Game Framework Di SMK Negeri 1 Negara
RADEN BUDIARTO HADIPRAKOSO,Implementasi transfer learning dalam mengklasifikasikan file malware berbasis gambar pada dataset Dumpware10
RADEN BUDIARTO HADIPRAKOSO,Desain gamifikasi sebagai media pembelajaran untuk memotivasi pelajar dalam meningkatkan cyber security awareness terhadap phishing
RADEN BUDIARTO HADIPRAKOSO,Deteksi serangan web defacement menggunakan deep learning
RADEN BUDIARTO HADIPRAKOSO,Perbandingan Performa dan Keamanan Json Web Token (JWT) dan Platform Agnostic Security Tokens (PASETO) pada Restful API
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi Absensi Rapat dengan Schnorr Digital Signature Multisigning dan QR-Code
RADEN BUDIARTO HADIPRAKOSO,Implementasi Deep Learning untuk Deteksi dan Klasifikasi Malware Android Menggunakan Analisis Berbasis Hybrid
RADEN BUDIARTO HADIPRAKOSO,Implementasi Game-Based Learning Berbasis Android untuk Meningkatkan Security Awareness Dari Serangan Social Engineering dengan Menerapkan Octalysis Gamification Framework
RADEN BUDIARTO HADIPRAKOSO,Analisis Log Web Server dengan Pendekatan Algoritme K-Means Clustering dan Feature Importance
RADEN BUDIARTO HADIPRAKOSO,Development of Final Year Project System (FIPOS) Based on Website with One-Time Password
RADEN BUDIARTO HADIPRAKOSO,Modified RNP Privacy Protection Data Mining Method as Big Data Security
RADEN BUDIARTO HADIPRAKOSO,Rancang bangun aplikasi rekapitulasi obat Poliklinik Poltek SSN berbasis website dengan menerapkan fungsi hash dan tanda tangan digital
RADEN BUDIARTO HADIPRAKOSO,Implementasi Semantic-Aware Model Checker Untuk Mendeteksi Deep Bugs Pada Paxos Protocol Apache Cassandra
RADEN BUDIARTO HADIPRAKOSO,Penerapan Metode FMEA Untuk Keamanan Sistem Informasi (Studi Kasus Website POLRI): Array
RADEN BUDIARTO HADIPRAKOSO,Penerapan Kecerdasan Buatan Pada Games Puzzle  dengan Menggunakan Flash Action Script
RADEN BUDIARTO HADIPRAKOSO,"Google AdSense, Langkah Mudah Meraup Dollar Lewat Internet"
RADEN BUDIARTO HADIPRAKOSO,Pengantar Teknologi Informasi &amp; Komunikasi
RADEN BUDIARTO HADIPRAKOSO,Analisis Perbandingan Pencarian Depth First Search pada Graf dengan Algoritma Rekursif dan Non-Rekursif Comparison Analysis of DFS on Graph with Recursive and Non-Recursive …
AMIRUDDIN,Design of Blockchain-based electronic election system using Hyperledger: Case of Indonesia
AMIRUDDIN,Systematic review of internet of things security
AMIRUDDIN,Secure multi-protocol gateway for Internet of Things
AMIRUDDIN,"Cyber-Risk Management Planning Using NIST CSF v1. 1, NIST SP 800-53 Rev. 5, and CIS Controls v8"
AMIRUDDIN,Construction and Analysis of Key Generation Algorithms Based on Modified Fibonacci and Scrambling Factors for Privacy Preservation.
AMIRUDDIN,A brief review of attacks and mitigations on smartphone infrastructure
AMIRUDDIN,New Key Generation and Encryption Algorithms for Privacy Preservation in Mobile Ad Hoc Networks
AMIRUDDIN,"Robustness Test of SIMON-32, SPECK-32, and SIMECK-32 Algorithms Using Fixed-Point Attacks"
AMIRUDDIN,Lightweight method for detecting fake authentication attack on Wi-Fi
AMIRUDDIN,Perancangan Spesifikasi Keamanan untuk Pengembangan Aplikasi Secure Chat Berdasarkan Common Criteria For It Security Evaluation
AMIRUDDIN,Is WhatsApp Plus Malicious? A Review Using Static Analysis
AMIRUDDIN,Exploration of the security of free data encryption applications for cloud storage
AMIRUDDIN,"Systematic Literature Review of Game-Based Learning: Objectives, Methods, Applications, Measurement Parameters, and Types of Games"
AMIRUDDIN,Securing Web-Based E-Voting System Using Captcha and SQL Injection Filter
AMIRUDDIN,"A User Authentication Scheme Using Real-Time Location, QR-Code, and One Time Password: A Preliminary Work"
AMIRUDDIN,KAMIES: Security optimization of KASUMI algorithm by increasing diffusion level
AMIRUDDIN,Development of a Secure Access Control System Based on Two-Factor Authentication Using Face Recognition and OTP SMS-Token
AMIRUDDIN,Applying MAC Address-Based Access Control for Securing Admin&#39;s Login Page
