dosen,judul
ANDRIANI ADI LESTARI,Distribusi Difference dari S-Box Berbasis Fungsi Balikan Pada GF (2 8)
SA'AADAH SAJJANA CARITA,Serangan Aljabar pada Algoritme S-IDEA dan Miniatur S-IDEA
MAGFIRAWATY,Pemanfaatan Fungsi Modifikasi Fungsi Non Linear Satu Dimensi dan Aritmatika Floating Point IEEE 754-2008 pada Pembangkitan Rangkaian Bit Acak Berbasis Discrete Time
RAHMAT PURWOKO,Rancang Bangun Prototipe Modul Enkripsi/Dekripsi Menggunakan Algoritma Blowfish pada Mikrokontroler STM32F103 Berbasis Prosesor ARM Cortex-M3
EKO YON HANDRI,Penentuan Model Kepercayaan Infrastruktur Kunci Publik di Indonesia dengan Pendekatan Analytic Hierarchy Process
EKO YON HANDRI,Solusi Alternatif Pengamanan Informasi Penting/rahasia dengan Menyembunyikan Teks Berita di dalam Spam
MOHAMAD SYAHRAL,Otomatisasi Simulasi Quantum Key Distribution Berdasarkan Protokol BB84 pada EDU-QCRY1
MOHAMAD SYAHRAL,Rekayasa prototipe kendali akses multifactor authentication dengan menerapkan metode autentikasi jarak jauh berbasis biometrik menggunakan smart card
MOHAMAD SYAHRAL,Implementasi Skema Triple-Authenticated Key Exchange Protocol Pada Aplikasi Voip Peer-To-Peer Sebagai Media Autentikasi Dan Pertukaran Kunci Antar Pengguna Tanpa PKI
FETTY AMELIA,Implementasi Mel Frequency Cepstral Coefficient (MFCC) dan Hidden Markov Model (HMM) Pada Proses Verifikasi Suara
ARIF RAHMAN HAKIM,Distinguishing Attack Pada Algoritma Sosemanuk dengan Metode Linear Masking
ANDRIANI ADI LESTARI,KAJIAN TERHADAP KEY GENERATOR PADA IMPLEMENTASI ALGORITMA POLYMORPHIC CIPHER DAN ANALISIS RANGKAIAN KUNCI YANG DIHASILKAN DENGAN MENGGUNAKAN METODE FIVE BASIC TESTS DAN MAURER'S UNIVERSAL TEST
ANNISA DINI HANDAYANI,"Kajian Matematis Fungsi Weil Pairing pada Skema ""Identity Based Encryption From the Weil Pairing"""
BETY HAYAT SUSANTI,Upaya Memperkecil Terjadinya Kesalahan Transmisi dengan Melakukan Pengendalian Kesalahan pada Komunikasi Data
DESI MARLENA,Implementasi Ambient Conditions-based Solutions dan Algoritme Chaskey pada protokol komunikasi Near Field Communication (NFC) sebagai solusi terhadap ancaman Relay Attack
DESI MARLENA,Implementasi drone forensics pada Drone DJI Phantom 3 Standard
DESI MARLENA,Implementasi Mekanisme Biometric Encryption menggunakan Skema Shamir's Secret Sharing pada Sistem Kendali Akses Berbasis Arduino Mega2560
DESI MARLENA,Implementasi teknik pengenalan wajah Viola-Jones dan local binary pattern histogram serta pengukuran suhu tubuh pada perangkat kendali akses ruang workshop Politeknik Siber dan Sandi Negara
DESI MARLENA,Rancang Bangun Aplikasi DSEV Sebagai Pengamanan Alat Bukti Digital dengan Menerapkan Tanda Tangan Elektronik Di Direktorat Reserse Kriminal Khusus Polda Metro Jaya
DESI MARLENA,Rancang bangun prototipe access control untuk kunci ruang server berbasis multifactor authentication
DESI MARLENA,Rancang bangun prototipe sistem kesehatan pribadi menggunakan protokol autentikasi jaringan sensor medis nirkabel dengan memanfaatkan algoritme Present dan SHA-256 guna mengatasi serangan pemalsuan identitas
DIMAS FEBRIYAN PRIAMBODO,Implementasi Sistem Passwordless dan Multi Factor Authentication (MFA) untuk Keamanan Sistem Login Aplikasi Berbasis Android
DION OGI,Analisis tingkat kesiapan penerapan sistem manajemen keamanan informasi pada pusat sistem dan jaringan informasi kearsipan nasional
DION OGI,Implementasi algoritma shor pada sirkuit kuantum untuk cracking algoritma RSA
DION OGI,Implementasi algoritme PRESENT-80 Block Cipher pada prototipe Vehicle Tracking System
DION OGI,Implementasi Hybrid Password Authentication Scheme Based on Shape-Text dan SKey Protocol pada Raspberry Pi sebagai Sistem Kontrol Akses Berbasis Client-Server untuk Mengatasi Shoulder Surfing Attack dan Replay Attack
DION OGI,Implementasi one-time password mutual authentication scheme on sharing renewed finite random sub-passwords pada kontrol akses berbasis client-server untuk mengatasi dictionary attack dan replay attack
DION OGI,Implementasi skema kendali akses sistem lingkungan rumah pintar menggunakan intrusion detection system berbasis Snort untuk mendeteksi serangan Denial of Service dan SSH Brute Force
DION OGI,Kajian awal implementasi protokol Quantum Key Distribution BB84 dan SARG04 pada perangkat EDUQCRY
DION OGI,Pembuatan indicator of compromise menggunakan teknik reverse engineering pada malware
DION OGI,Penerapan Skema Online Secret Sharing (OSS) Cratoon dan Algoritma Kunci Publik RSA untuk Identifikasi Kecurangan Pengguna dan Replay Attack pada Kendali Akses Ruangan
DION OGI,Pengembangan Otomatisasi Perangkat Simulasi Quantum Key Distribution dengan Menerapkan Seluruh Protokol BB84 untuk Quantum Key Distribution di Luar Laboratorium
DION OGI,Penggunaan Komputer Dalam Kriptanalisa Tranposisi Sederhana
DION OGI,Perencanaan kebutuhan keamanan fisik dan lingkungan kantor Pusat Pendidikan dan Pelatihan (Pusdiklat) BSSN berdasarkan konsep Crime Prevention Through Environmental Design (CPTED)
DION OGI,"Rancang Bangun Aplikasi Secure Document Management System (SEDOCMANSYS) di Subbidang Persandian, Kementerian Dalam Negeri dengan Mengimplementasikan AES-192, RSA Digital Signature, dan Secure Dongle"
EKO YON HANDRI,Analisis Perbandingan Performa Aplikasi Secure VoIP (Voice Over Internet Protocol)Berbasis Android Menggunakan Algoritma AES dan Rubiker pada SRTP (Secure Realtime Transport Protocol)
EKO YON HANDRI,Implementasi Algoritma Kriptografi Karya Mahasiswa STSN Pada Framework Library Botan
EKO YON HANDRI,Rancang Bangun Modul Tanda Tangan Elektronik pada e-Purchasing Sistem Pengadaan Barang/Jasa Secara Elektronik (SPSE) Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah
EKO YON HANDRI,Rancang Bangun Perangkat Lunak Stone Encryption Sebagai Alternatif Aplikasi Penyandian Data di Lingkungan Persandian Indonesia
FETTY AMELIA,Implementasi Algoritma Present pada Prototipe Asset Tracking System Berbasis LoRa
FETTY AMELIA,Implementasi algoritma SIT pada prototipe sistem kesehatan pribadi untuk pasien COVID-19 menggunakan protokol autentikasi WMSN
FETTY AMELIA,Implementasi algoritme AES-128 dan kendali akses dengan Smartcard dan Time-Based One-Time Password pada Warehouse Inventory Management System berbasis IoT
FETTY AMELIA,Implementasi algoritme AES-256 pada sistem pemantauan getaran gempa bumi menggunakan perangkat LoRa dan Antena Yagi untuk pengiriman informasi darurat yang aman
FETTY AMELIA,Implementasi Algoritme PRESENT pada Model Smart-Home Berbasis Long-Range (LoRa)
FETTY AMELIA,Implementasi Autentikasi Dua Faktor Berbasis RFID dan Pengenalan Wajah dengan Skema Secret SHAring pada Sistem Kendali Akses Ruang Server
FETTY AMELIA,Implementasi Keyed-Hash Message Authetication Code (HMAC) dan Algoritma Grain Sebagai Pengamanan Data pada Komunikasi Bluetooth Low Energy (BLE) dalam Smart Room
FETTY AMELIA,Implementasi Komunikasi Radio Berbasis Automatic Packet Reporting System (APRS) pada Perangkat Raspberry Pi dengan Menerapkan Internet Protocol Security
FETTY AMELIA,"Implementasi multifactor authentication menggunakan password, smartcard, dan sidik jari pada prototipe kendali akses berbasis client-server dengan Raspberry Pi 3B pada Ruang workshop perangkat keras Politeknik Siber dan Sandi Negara"
FETTY AMELIA,Implementasi secret sharing based face recognition model pada sistem kendali akses autentikasi dua faktor berbasis RFID dan pengenalan wajah menggunakan algoritma Local Binary Pattern
FETTY AMELIA,Implementasi secure web database pada kendali akses berbasis secret sharing dengan multifactor authentication
FETTY AMELIA,Implementasi Sistem Autentikasi Berbasis Time-Based One Time Password pada Mikrokontroler ESP32
FETTY AMELIA,Rancang Bangun Modul Secure File Transfer Menggunakan Raspberry Pi dan Handy Talky Sebagai Komunikasi Darurat
FETTY AMELIA,Rancang bangun prototipe asset tracking system berbasis LoRa dengan implementasi kriptografi menggunakan algoritma AES-256
FETTY AMELIA,Rancang bangun prototipe penjamin integritas barang bukti digital berbasis Raspberry Pi dan kartu RFID
FETTY AMELIA,Rancang bangun prototipe smart video surveillance dengan Night Vision Camera pada Raspberry Pi 3 model B+ yang menerapkan algoritme AES-256 sebagai keamanan file
FETTY AMELIA,Rekayasa prototipe kendali akses autentikasi multifaktor yang menggunakan RFID dan algoritme pengenalan wajah Local Binary Pattern Histogram (LBPH) berbasis Raspberry Pi
GIRINOTO,Analisis deteksi akun robot pada Twitter menggunakan teknik machine learning
GIRINOTO,Analisis sentimen opini publik terhadap layanan BSSN dengan menggunakan BERT model
GIRINOTO,Implementasi chatbot pada website Politeknik Siber dan Sandi Negara menggunakan teknik deep learning
GIRINOTO,Implementasi Deep Learning Menggunakan Kombinasi Fitur Teks dan Gambar untuk Mendeteksi Website Phishing
GIRINOTO,Implementasi Deep Learning untuk Deteksi dan Klasifikasi Malware Android Menggunakan Analisis Berbasis Hybrid
GIRINOTO,Implementasi deep learning untuk klasifikasi malware menggunakan API Call Windows
GIRINOTO,Implementasi keamanan autentikasi web service dengan JSON Web Token (JWT) pada aplikasi Penilaian Mandiri Keamanan Informasi (PAMAN KAMI)
GIRINOTO,Implementasi teknik game-based learning berbasis Android guna meningkatkan security awareness terhadap serangan social engineering
GIRINOTO,Komparasi model shallow machine learning dan deep learning untuk mendeteksi URL Phishing
GIRINOTO,Model prediktif untuk pendeteksi kebohongan melalui pendekatan deep learning (studi kasus: Pusat Laboratorium Forensik Bareskrim Polri)
GIRINOTO,Perbandingan single-view deep learning dan multi-view deep learning untuk deteksi Android malware
GIRINOTO,Rancang bangun aplikasi analisis sentimen opini masyarakat terhadap Badan Siber dan Sandi Negara berbasis Lexicon pada media sosial Twitter
GIRINOTO,Rancang Bangun Secure and Distributed Hoax News Dataset Repository Website Menggunakan Blockchain
HERMAN KABETTA,Deteksi Serangan Web Defacement Menggunakan Deep Learning
HERMAN KABETTA,Implementasi DevSecOps untuk auto deploy pada sistem informasi Korpstar
HERMAN KABETTA,Implementasi teknik gamifikasi berbasis Android dalam peningkatan kesadaran keamanan siber
HERMAN KABETTA,Penerapan Tanda Tangan Digital dan Secure Coding Berdasarkan OWASP pada Sistem E-Control Tugas Akhir
HERMAN KABETTA,Perbandingan Performa dan Keamanan Json Web Token (JWT) dan Platform Agnostic Security Tokens (PASETO) pada Restful API
HERMAN KABETTA,Rancang bangun Android password manager menggunakan anti-spoofing face recognition authentication
HERMAN KABETTA,Rancang bangun aplikasi PDF signer berbasis Android untuk proses tanda tangan elektronik menggunakan face recognition pada Perusahaan Daerah Air Minum Tirta Lestari kabupaten Tuban
HERMAN KABETTA,Rancang bangun aplikasi REST APi Learning Management System Poltek SSN dengan menerapkan JSON web token
HERMAWAN SETIAWAN,Analisis Access Control Sistem Pelayanan Informasi dan Perizinan Investasi Secara Elektronik (SPIPISE) Badan Koordinasi Penanaman Modal (BKPM) Berdasarkan SNI ISO/IEC 27002:2014
HERMAWAN SETIAWAN,Analisis Forensik Digital Fitur Disappearing Message pada Aplikasi Instant Messaging Berbasis Android Berdasarkan NIST 800-101 Rev 1
HERMAWAN SETIAWAN,Analisis Forensik Digital pada Layanan Kontainer Docker Menggunakan Grr Rapid Response Framework Berdasarkan NIST SP 800-86
HERMAWAN SETIAWAN,Analisis seteksi dan pencegahan serangan injeksi SQL pada basis data MySQL dengan teknik input categorization dan input verifier
HERMAWAN SETIAWAN,Anti-Phishing game framework berbasis web application sebagai media edukasi untuk meningkatkan security awareness terhadap URLs phishing attacks
HERMAWAN SETIAWAN,Classic Cipher Game Berbasis Mobile Application Sebagai Alat Bantu Ajar Mata Kuliah Pengantar Persandian Taruna Poltek SSN
HERMAWAN SETIAWAN,Implementasi aplikasi rest API management user menggunakan keycloak pada microservices web aplikasi internal Balai Sertifikasi Elektronik
HERMAWAN SETIAWAN,Implementasi metode penghapusan data digital Lee et al.'s pada anti-theft application berbasis android
HERMAWAN SETIAWAN,Implementasi model multi-entry onscreen keyboard pada aplikasi mobile berbasis Android untuk mencegah serangan shoulder surfing
HERMAWAN SETIAWAN,Implementasi Time-based One Time Password (TOTP) sebagai metode autentikasi pada password manager untuk mencegah serangan Brute Force Attack
HERMAWAN SETIAWAN,Manajemen Resiko Keamanan Informasi pada Infrastruktur Teknologi Informasi di Lembaga Sandi Negara
HERMAWAN SETIAWAN,OPTIMALISASI MEMORI MESIN SANDI SN-201 SEBAGAI TINJAUAN AWAL PENGEMBANGAN MESIN SANDI SN-201 DALAM KEGIATAN PERSANDIAN INDONESIA
HERMAWAN SETIAWAN,PDFalse : Aplikasi Deteksi Evasive Malicious Portable Document Format Berbasis Machine Learning
HERMAWAN SETIAWAN,Penerapan Persandian Sebagai Solusi Pengamanan Pengiriman Informasi Rahasia PAda Komunikasi Internal di Direktorat Jendral Pajak Republik Indonesia
HERMAWAN SETIAWAN,Perbandingan algoritma AES dan Blowfish untuk pengamanan data dalam database pada rancang bangun aplikasi pengelolaan surat berbasis web dinas pendidikan kota Mataram
HERMAWAN SETIAWAN,Rancang Bangun Aplikasi Absensi Rapat dengan Schnorr Digital Signature Multisigning dan QR-Code
HERMAWAN SETIAWAN,Rancang bangun aplikasi Android otentikasi spinpad dengan JSON Web Token (JWT)
HERMAWAN SETIAWAN,Rancang bangun aplikasi customer relationship management sebagai sarana registrasi peserta seminar KLiKS
HERMAWAN SETIAWAN,Rancang bangun aplikasi Event Management untuk manajemen data peserta KLiKS dengan secure web API berdasarkan OWASP API Top Ten 2019
HERMAWAN SETIAWAN,Rancang bangun aplikasi filter log berbasis Java Desktop pada Direktorat Penanggulangan dan Pemulihan Infrastruktur Informasi Kritikal Nasional
HERMAWAN SETIAWAN,Rancang Bangun Aplikasi Rekam Medis Elektronik dengan Menerapkan AES-256 dan RSA Digital Signature untuk Tanda Tangan Digital pada Resume Medis di Rumah Sakit Umum Daerah (RSUD) Depok
HERMAWAN SETIAWAN,"Rancang bangun aplikasi sistem absensi dengan face recognition, disable multi device, dan Present validation menggunakan flutter berbasis Android"
HERMAWAN SETIAWAN,RANCANG BANGUN APLIKASI VERIFIKASI KEUTUHAN AL QURAN DIGITAL BERBASIS WEB DENGAN MENERAPKAN SHA-256 PADA LAJNAH PENTASHIHAN MUSHAF AL QURAN
HERMAWAN SETIAWAN,Rancang bangun aplikasi web edukasi keamanan siber berdasarkan Global Framework of Reference on Digital Literacy Skills for Indicator 4.4.2
HERMAWAN SETIAWAN,Rancang bangun Decentralized Application (DApp) e-voting berbasis web menggunakan smart contract di jaringan blockchain ethereum
HERMAWAN SETIAWAN,Rancang bangun Hands-On Vulnerable Web Application sebagai media edukasi pada Direktorat Proteksi Ekonomi Digital
HERMAWAN SETIAWAN,Rancang bangun platform Information Sharing and Analysis Center (ISAC) berbasis web pada Direktorat Proteksi Infrastruktur Informasi Kritikal Nasional I
HERMAWAN SETIAWAN,Rancang bangun sistem E-Control Tugas Akhir yang Aman pada Jurusan Kriptografi Politeknik Siber dan Sandi Negara
HERMAWAN SETIAWAN,Rancang bangun sistem informasi e-learning sebagai media edukasi Direktorat Proteksi Ekonomi Digital
HERMAWAN SETIAWAN,Rancang Bangun Social Network Analysis Tools
HERMAWAN SETIAWAN,Skema Autentikasi Pengguna Extended Self-Adaptive Honey Encryption (XSHE) Menggunakan Generatif Adversarial Network (GAN)
HERMAWAN SETIAWAN,Studi komparatif pada Cuckoo Sandbox dan Any.Run dalam basic dynamic malware analysis
HERMAWAN SETIAWAN,"Vulnerability check system menggunakan Jenkins, API ZAP, Sonarqube dan rekomendasi perbaikan pada aplikasi Servicedesk versi 2.0 Pemerintah Provinsi Jawa Barat"
IRA ROSIANAL HIKMAH,Analisis Mylobot Malware dengan Menggunakan Pendekatan Hybrid Analysis
JECKSON SIDABUTAR,Analisis Rules Intrusion Detection Prevention System (IDPS) Suricata untuk mendeteksi dan menangkal aktivitas crypto mining pada jaringan
JECKSON SIDABUTAR,Implementasi EfficientNet pada klasifikasi malware BIG2015
JECKSON SIDABUTAR,"network forensic serangan SSH brute force, syn flood, ping of death, dan port scanning pada jaringan cloud computing menggunakan owncloud berdasarkan eneric Framework for Network Forensics (GFNF)"
MAGFIRAWATY,Aplikasi sistem autentikasi menggunakan skema yang diusulkan oleh Khan et al. pada lingkungan rumah pintar untuk mengatasi serangan Dolev-Yao
MAGFIRAWATY,"Hubungan Nilai Matematika dan Bahasa Inggris pada NEM, Tes Akademik Seleksi Masuk Aksara Serta Tes Intelegensi Terhadap Index Prestasi yang Diperoleh Mahasiswa aksara Angkatan 20-23"
MAGFIRAWATY,Implementasi Algoritma Pseudo Random Number Generator Berbasis Chaotic Logistic Map pada Mikrokontroler AVR dengan Memanfaatkan Sensor Suhu sebagai Pembangkit Rangkaian Kunci
MAGFIRAWATY,Optimalisasi skema pembangkit bilangan acak dengan Wake Up Ring Oscillator sebagai sumber entropi guna menghasilkan rangkaian bilangan yang lulus uji NIST 800-22
MARETA WAHYU ARDYANI,Analisis Perbandingan Recovery Tools untuk Bukti Forensik Digital Menggunakan Framework NIST 800-101 R1
MARETA WAHYU ARDYANI,Studi Komparasi Implementasi Algoritme Kunci Publik pada Modifikasi Teknik DNA Cryptography Biswas et.al.
MOHAMAD SYAHRAL,Implementasi algoritme GIFT sebagai alternatif TLS Cipher Suite pada prototipe VPN Gateway berbasis Raspberry Pi 3 model B+
MOHAMAD SYAHRAL,Implementasi dongle access control dengan Raspberry Pi Zero berbasis geoencryption dalam pengamanan dokumen
MOHAMAD SYAHRAL,IMPLEMENTASI FUNGSI HASH PADA WATERMARKING CITRA MEDIS DENGAN MENGGUNAKAN TEKNIK DIGITAL WAVELET TRANSFORMATION
MOHAMAD SYAHRAL,Implementasi Https Melalui Ultra High Frequency (UHF) Berbasis Raspberry Pi
MOHAMAD SYAHRAL,Implementasi jamming attack dan replay attack pada transmisi drone komersial menggunakan Software Defined Radio (SDR) sebagai uji kerawanan keamanan
MOHAMAD SYAHRAL,Implementasi serangan A5/1 Rainbow Table studi kasus: uji kerawanan keamanan SMS OTP
MOHAMAD SYAHRAL,Pembangkit kunci acak berbasis chaotic ring oscillator dengan algoritme PRESENT sebagai proteksi kerahasiaan berkas rangkaian kunci
MOHAMAD SYAHRAL,Rancang Bangun Aplikasi Secure E-Prescription dengan Menerapkan Tanda Tangan Digital Menggunakan Elliptic Curve Digital Signature Algorithm (ECDSA) Sebagai Pencegahan Terhadap Pemalsuan Resep dan Anti Penyangkalan Bagi Dokter
MOHAMAD SYAHRAL,Rancang bangun perangkat intrusion detection system berbasis Snort pada perangkat Raspberry Pi 3 model B+ dengan menerapkan TaZmen Sniffer Protocol dan jaminan integritas log alert dengan SHA-3
MOHAMAD SYAHRAL,Rancang Bangun Sistem Informasi Tugas Akhir Berbasis Web Di Jurusan Teknik Persandian STSN Dengan Menerapkan Two-Factor Zero Knowledge Authentication Pada Smart Card Untuk Autentikasi Pengguna
MUHAMMAD YUSUF BAMBANG SETIADJI,Analisis bukti digital pada fitur view once Whatsapp dan self destruct Telegram menggunakan metode NIST SP 800-101 Rev 1
MUHAMMAD YUSUF BAMBANG SETIADJI,"Analisis forensik digital menggunakan live forensic dan static forensic pada Google Drive, OneDrive dan Dropbox berbasis Android  untuk menemukan artefak berdasarkan NIST 800-101 Rev 1"
MUHAMMAD YUSUF BAMBANG SETIADJI,Analisis keamanan aplikasi berbasis web Sistem Perizinan Online (SISPERON) milik Dispamsanau sebagai upaya untuk meningkatkan keamanan aplikasi menggunakan metode Black Box Testing
MUHAMMAD YUSUF BAMBANG SETIADJI,Analisis perilaku ransomware berbasis Windows pada sistem operasi Linux menggunakan compatibility layer wine
MUHAMMAD YUSUF BAMBANG SETIADJI,Identifikasi jenis malware berdasarkan Artefak Registry Windows 10 menggunakan Regshot dan Cuckoo
MUHAMMAD YUSUF BAMBANG SETIADJI,Implementasi dan analisis KARMA Attack pada WPA3
MUHAMMAD YUSUF BAMBANG SETIADJI,Implementasi dan analisis performa WIDS Kismet pada Raspberry Pi 4 sebagai perangkat deteksi serangan terhadap data link layer pada Wi-Fi access point
MUHAMMAD YUSUF BAMBANG SETIADJI,Implementasi dan analisis performa WIDS untuk mendeteksi clogging attack pada jaringan Wi-Fi WPA3
MUHAMMAD YUSUF BAMBANG SETIADJI,Implementasi Purwarupa Intrusion Detection System untuk Mendeteksi Evil Twin Attack pada Jaringan Nirkabel Menggunakan Skema Agarwal et al.
MUHAMMAD YUSUF BAMBANG SETIADJI,Implementasi serangan geolocation spoofing pada fitur smart lock trusted place dengan target ponsel pintar android
MUHAMMAD YUSUF BAMBANG SETIADJI,Implementasi sistem passwordless menggunakan Public Key Infrastructure (PKI) dan Two Factor Authentication (2FA) untuk keamanan sistem login aplikasi berbasis web
MUHAMMAD YUSUF BAMBANG SETIADJI,Pembuatan bahan cyber exercise sebagai sarana latihan penanganan insiden malware (studi kasus: Poltek SSN)
MUHAMMAD YUSUF BAMBANG SETIADJI,Pengukuran Tingkat Kerawanan Situs Jejaring Pada Dinas Komunikasi Dan Informatika (Diskominfo) Provinsi Jawa Barat Menggunakan Common Vulnerability Scoring System (CVSS) v3.0
MUHAMMAD YUSUF BAMBANG SETIADJI,Peningkatan kapabilitas deteksi serangan malware menggunakan NIDS (Network Intrusion Detection System) Zeek dengan Yara Rules dan Cuckoo
MUHAMMAD YUSUF BAMBANG SETIADJI,Rancang Bangun Algoritma Block Cipher S-1103 Untuk Penyandian Data Pada Mikrokontroler MCS-8051
MUHAMMAD YUSUF BAMBANG SETIADJI,Rancang Bangun Aplikasi Pengelolaan Dokumen Berita Rahasia Elektronik di Dinas Pengamanan dan Sandi TNI Angkatan Udara
MUHAMMAD YUSUF BAMBANG SETIADJI,Rancang Bangun Prototipe Kendali Akses Secure Login dengan Menerapkan Skema Varshney et al Pada Smartphone Android dan Website
MUHAMMAD YUSUF BAMBANG SETIADJI,Studi bukti digital aplikasi instant messenger Line pada Smartphone Android menggunakan pedoman NIST pada mobile device forensics
MUHAMMAD YUSUF BAMBANG SETIADJI,Uji penetrasi sistem keamanan berbasis OWASP Web Security Testing Guide (WSTG) v4. pada website milik humas pemerintah kota Jayapura
NADIA PARAMITA RETNO ADIATI,Pencarian karakteristik truncated differential pada 8 iterasi algoritme design 32 bit Lightweight Block Cipher Algorithm (DLBCA)
NANANG TRIANTO,Analisis aplikasi cryptowallet tiruan terhadap indikasi android malware
NANANG TRIANTO,Analisis digital forensic pada aplikasi Linkedin berbasis mobile menggunakan metode National Institute of Justice (NIJ)
NANANG TRIANTO,"Analisis Forensik Digital Aplikasi Gopay, OVO, dan Dana pada Android OS untuk Menemukan Bukti Digital Kasus Penipuan Online Berdasarkan NIST SP 800-101 R1"
NANANG TRIANTO,Analisis Integrasi Security Information and Event Management (SIEM) dan Intrusion Detection System (IDS) dalam Mendeteksi Serangan Berbasis Evasion Technique
NANANG TRIANTO,Analisis Keamanan Aplikasi Website Simaniz Milik Pemerintah Kabupaten Bojonegoro Mengacu pada Open Web Application Security Project Top Ten 2021
NANANG TRIANTO,Analisis Keamanan Berbasis Open Web Application Security Project (OWASP) Top 10 2021 pada Aplikasi Web Simantap Online Milik Pemerintah Kota Ambon
NANANG TRIANTO,Analisis Kemampuan Zeek dan Suricata Sebagai Host-Based Intrusion Detection System (HIDS) Terhadap Serangan Denial of Service (DoS) pada Jaringan
NANANG TRIANTO,Analisis komparatif aplikasi digital signing open source berdasarkan ISO/IEC 25010
NANANG TRIANTO,"Analisis komparatif aplikasi pengelola kata sandi  Proprietary Lastpass, 1Password, dan Keeper Berdasarkan ISO/IEC 25010"
NANANG TRIANTO,Analisis Komparatif Protokol VPN pada IPv6 Berdasarkan Quality of Service
NANANG TRIANTO,Analisis malware menggunakan metode analisis statis dan dinamis untuk pembuatan Indicator of Compromise (IOC) berdasarkan Structured Threat Information Expression (STIX)
NANANG TRIANTO,"Analisis Redline Stealer Malware dengan Metode Surface, Runtime dan Static Code"
NANANG TRIANTO,"Desain Instrumen Penilaian Tingkat Kematangan Keamanan Siber (Cybersecurity Maturity Assessment) Berdasarkan NIST CSF, Cobit 2019, ISO/IEC 27002 dan PCI DSS"
NANANG TRIANTO,Efektivitas Pelaksanaan Kegiatan Persandian di Sub Direktorat Sandi dan Komunikasi Kejaksaan Agung Republik Indonesia
NANANG TRIANTO,Evaluasi dan Strategi Perbaikan Tata Kelola Keamanan Sistem Informasi Menggunakan Kerangka Kerja Cybersecurity Capability Maturity Model (C2M2) pada Sistem Informasi Manajemen Puskesmas Dinas Kesehatan Kota Tangerang Selatan
NANANG TRIANTO,"Forensik Jaringan Serangan Malware, Port Scanning, Ping of Death Berdasarkan Network Forensics Development Life Cycle (NFDLC)"
NANANG TRIANTO,Implementasi cloud storage sebagai media penyimpanan log pada perangkat intrusion detection system berbasis Raspberry Pi 4 model B
NANANG TRIANTO,Implementasi Cowrie Honeypot untuk kategorisasi ancaman berdasarkan metode Ryandy et al.
NANANG TRIANTO,Implementasi Evil Twin Framework pada Perangkat IoT NodeMCU ESP8266 untuk kegiatan penetration testing pada Wi-Fi
NANANG TRIANTO,Implementasi sistem analisis log otomatis untuk melakukan analisis Windows login pada Windows event log yang menggunakan Remote Desktop Protocol (RDP)
NANANG TRIANTO,Otomasi Capture The Flag (CTF) pada pembelajaran keamanan siber di Politeknik Siber dan Sandi Negara
NANANG TRIANTO,Pembuatan Cyber Exercise Investigasi Forensik Jaringan Berdasarkan ISO 22398
NANANG TRIANTO,Pembuatan cyber exercise untuk cybercrime investigation berbasis Open Source Intelligence (OSINT) Berdasarkan ENISA Cyber Exercise Cycle
NANANG TRIANTO,Pengklasifikasian serangan aplikasi web dan DDoS menggunakan algoritme k-Nearest Neighbors pada Log Honeypot SNARE (Super Next Generation Advanced Reactive
NANANG TRIANTO,Penyusunan Rekomendasi Materi Pendidikan dan Pelatihan untuk Memenuhi Kompetensi Sandiman Dasar di Puskom Kemenlu dalam Rangka Evaluasi Kurikulum Pendidikan dan Pelatihan Sandiman Dasar Tahun 2010
NANANG TRIANTO,"Perancangan Cyber-Risk Management Menggunakan NIST Cyber Security Framework (CSF), CIS Controls V8, dan ISO 27005:2022 (Studi Kasus: Diskominfo Kota Tangerang Selatan)"
NANANG TRIANTO,Perancangan kriteria cyber security audit berdasarkan NIST CSF dan COBIT 5 pada Bidang Teknologi Informasi Badan Pengusahaan Batam
NANANG TRIANTO,Perancangan kriteria cyber security audit menggunakan NIST CSF dengan ISO/IEC 27001:2013 berdasarkan Peraturan OJK Nomor 38/POJK.03/2016 (studi kasus: Bank BNI)
NANANG TRIANTO,Perancangan kriteria cyber security audit pada layanan kesehatan menggunakan NIST CSF (Cyber Security Framework) v1.1 dengan HIPAA (Health Insurance Portability and Accountability Act) (studi kasus : RSUD Kota Depok)
NANANG TRIANTO,Perancangan kriteria cyber security audit untuk sektor perbankan menggunakan NIST CSF dan CIS Controls v8 sesuai dengan Peraturan OJK Nomor 38/POJK.03/2016 (studi kasus: Bank BNI)
NANANG TRIANTO,Perbandingan kualitas lalu lintas jaringan pada server menggunakan aplikasi firewall open source Endian dan Pfsense
NANANG TRIANTO,Perbandingan Mobile Forensic Tools pada Smartphone Berbasis Android Menggunakan NIST (Studi Kasus Penipuan E-Commerce)
NANANG TRIANTO,Rancang bangun Capture The Flag Challenges berbasis bot Telegram sebagai sarana pembelajaran pada Komunitas Orang Siber Indonesia
NANANG TRIANTO,"Rancang bangun Intrusion Detection System, Multiple Honeypots, dan Packet Analyzer menggunakan Raspberry Pi 4 untuk home network"
NANANG TRIANTO,Rancang bangun perangkat disk imaging menggunakan Raspberry Pi 4 sebagai alternatif perangkat digital forensics rendah biaya
NANANG TRIANTO,Rancang bangun remote penetration testing menggunakan bot Telegram
